service,gender,race,hispanicity,paygrade,count
Navy,MALE,UNK,NON-HISP,O04,220
Navy,FEMALE,AMI/ALN,HISP,O04,1
Navy,FEMALE,AMI/ALN,NON-HISP,O04,13
Navy,FEMALE,ASIAN,HISP,O04,4
Navy,FEMALE,ASIAN,NON-HISP,O04,89
Navy,FEMALE,BLACK,HISP,O04,6
Navy,FEMALE,BLACK,NON-HISP,O04,201
Navy,FEMALE,MULTI,HISP,O04,2
Navy,FEMALE,MULTI,NON-HISP,O04,16
Navy,FEMALE,P/I,HISP,O04,0
Navy,FEMALE,P/I,NON-HISP,O04,4
Navy,FEMALE,WHITE,HISP,O04,41
Navy,FEMALE,WHITE,NON-HISP,O04,924
Navy,FEMALE,UNK,HISP,O04,25
Navy,FEMALE,UNK,NON-HISP,O04,42
Navy,MALE,AMI/ALN,HISP,O05,1
Navy,MALE,AMI/ALN,NON-HISP,O05,19
Navy,MALE,ASIAN,HISP,O05,2
Navy,MALE,ASIAN,NON-HISP,O05,164
Navy,MALE,BLACK,HISP,O05,10
Navy,MALE,BLACK,NON-HISP,O05,324
Navy,MALE,MULTI,HISP,O05,1
Navy,MALE,MULTI,NON-HISP,O05,54
Navy,MALE,P/I,HISP,O05,0
Navy,MALE,P/I,NON-HISP,O05,16
Navy,MALE,WHITE,HISP,O05,197
Navy,MALE,WHITE,NON-HISP,O05,5030
Navy,MALE,UNK,HISP,O05,63
Navy,MALE,UNK,NON-HISP,O05,158
Navy,FEMALE,AMI/ALN,HISP,O05,0
Navy,FEMALE,AMI/ALN,NON-HISP,O05,3
Navy,FEMALE,ASIAN,HISP,O05,1
Navy,FEMALE,ASIAN,NON-HISP,O05,30
Navy,FEMALE,BLACK,HISP,O05,1
Navy,FEMALE,BLACK,NON-HISP,O05,90
Navy,FEMALE,MULTI,HISP,O05,0
Navy,FEMALE,MULTI,NON-HISP,O05,8
Navy,FEMALE,P/I,HISP,O05,0
Navy,FEMALE,P/I,NON-HISP,O05,1
Navy,FEMALE,WHITE,HISP,O05,30
Navy,FEMALE,WHITE,NON-HISP,O05,634
Navy,FEMALE,UNK,HISP,O05,15
Navy,FEMALE,UNK,NON-HISP,O05,25
Navy,MALE,AMI/ALN,HISP,O06,1
Navy,MALE,AMI/ALN,NON-HISP,O06,5
Navy,MALE,ASIAN,HISP,O06,2
Navy,MALE,ASIAN,NON-HISP,O06,53
Navy,MALE,BLACK,HISP,O06,1
Navy,MALE,BLACK,NON-HISP,O06,109
Navy,MALE,MULTI,HISP,O06,1
Navy,MALE,MULTI,NON-HISP,O06,25
Navy,MALE,P/I,HISP,O06,0
Navy,MALE,P/I,NON-HISP,O06,4
Navy,MALE,WHITE,HISP,O06,89
Navy,MALE,WHITE,NON-HISP,O06,2573
Navy,MALE,UNK,HISP,O06,12
Navy,MALE,UNK,NON-HISP,O06,47
Navy,FEMALE,AMI/ALN,HISP,O06,0
Navy,FEMALE,AMI/ALN,NON-HISP,O06,0
Navy,FEMALE,ASIAN,HISP,O06,1
Navy,FEMALE,ASIAN,NON-HISP,O06,18
Navy,FEMALE,BLACK,HISP,O06,0
Navy,FEMALE,BLACK,NON-HISP,O06,26
Navy,FEMALE,MULTI,HISP,O06,0
Navy,FEMALE,MULTI,NON-HISP,O06,3
Navy,FEMALE,P/I,HISP,O06,0
Navy,FEMALE,P/I,NON-HISP,O06,0
Navy,FEMALE,WHITE,HISP,O06,9
Navy,FEMALE,WHITE,NON-HISP,O06,333
Navy,FEMALE,UNK,HISP,O06,3
Navy,FEMALE,UNK,NON-HISP,O06,11
Navy,MALE,AMI/ALN,HISP,O07,0
Navy,MALE,AMI/ALN,NON-HISP,O07,0
Navy,MALE,ASIAN,HISP,O07,0
Navy,MALE,ASIAN,NON-HISP,O07,2
Navy,MALE,BLACK,HISP,O07,0
Navy,MALE,BLACK,NON-HISP,O07,5
Navy,MALE,MULTI,HISP,O07,0
Navy,MALE,MULTI,NON-HISP,O07,0
Navy,MALE,P/I,HISP,O07,0
Navy,MALE,P/I,NON-HISP,O07,0
Navy,MALE,WHITE,HISP,O07,2
Navy,MALE,WHITE,NON-HISP,O07,102
Navy,MALE,UNK,HISP,O07,0
Navy,MALE,UNK,NON-HISP,O07,0
Navy,FEMALE,AMI/ALN,HISP,O07,0
Navy,FEMALE,AMI/ALN,NON-HISP,O07,0
Navy,FEMALE,ASIAN,HISP,O07,0
Navy,FEMALE,ASIAN,NON-HISP,O07,1
Navy,FEMALE,BLACK,HISP,O07,0
Navy,FEMALE,BLACK,NON-HISP,O07,1
Navy,FEMALE,MULTI,HISP,O07,0
Navy,FEMALE,MULTI,NON-HISP,O07,0
Navy,FEMALE,P/I,HISP,O07,0
Navy,FEMALE,P/I,NON-HISP,O07,0
Navy,FEMALE,WHITE,HISP,O07,0
Navy,FEMALE,WHITE,NON-HISP,O07,7
Navy,FEMALE,UNK,HISP,O07,0
Navy,FEMALE,UNK,NON-HISP,O07,0
Navy,MALE,AMI/ALN,HISP,O08,0
Navy,MALE,AMI/ALN,NON-HISP,O08,0
Navy,MALE,ASIAN,HISP,O08,0
Navy,MALE,ASIAN,NON-HISP,O08,0
Navy,MALE,BLACK,HISP,O08,0
Navy,MALE,BLACK,NON-HISP,O08,3
Navy,MALE,MULTI,HISP,O08,0
Navy,MALE,MULTI,NON-HISP,O08,0
Navy,MALE,P/I,HISP,O08,0
Navy,MALE,P/I,NON-HISP,O08,0
Navy,MALE,WHITE,HISP,O08,1
Navy,MALE,WHITE,NON-HISP,O08,65
Navy,MALE,UNK,HISP,O08,0
Navy,MALE,UNK,NON-HISP,O08,0
Navy,FEMALE,AMI/ALN,HISP,O08,0
Navy,FEMALE,AMI/ALN,NON-HISP,O08,0
Navy,FEMALE,ASIAN,HISP,O08,0
Navy,FEMALE,ASIAN,NON-HISP,O08,0
Navy,FEMALE,BLACK,HISP,O08,0
Navy,FEMALE,BLACK,NON-HISP,O08,0
